product_price,Rate,Review,Summary,Sentiment
417,5,excellent,it gives fresh juice it is made by thick plastis and glass it is very beautiful it is easy to use and clean after use overall worth the money go for it,positive
699,5,not specified,great amazing look very nice watch you can buy with out any doubts flipcart delivery is so fast in covid time really i appreciate your service thanks flipcart,positive
1599,5,highly recommended,excellent this product is very handy easy to clean car sofa windows and floor etc thanks to agaro and thanks to flipkart for deliverying this vacuum cleaner,positive
488,1,waste of money!,i wanted to give below 1 start but unfortunately there is no option it shows bigger then tv but its very tiny and received with out nails very bad product,negative
493,3,just okay,size is smallnice quality little costly at this price638 rsall parts were saperatewe have to arrange and join them togetherlooking good after installation,positive
86990,5,awesome,best laptop i ever had great performance great display and awesome inbuilt speakers with bass effects good for coding as well as gaming without any lag,positive
29990,5,fabulous!,nice product best tab at this price range camera could have been better great service by flipkart received product on time and in good condition go for it guys,positive
29990,5,fabulous!,nice product best tab at this price range camera could have been better great service by flipkart received product on time and in good condition go for it guys,positive
299,5,great product,the quality of the pre housing filter was awesome actually iam surprisedand the quality of two spun filter is nyc over all nyc productcant complain for 349 rs,positive
63990,5,best in the market!,the laptop is extremely good in this price range if you are find a all over good laptop so you can go for it it has amd processor and it is value for money,positive
58990,4,nice product,very good product in this price range awesome performance nice configuration display and sound quality is very goodonly issue is battery back up is 4 to 5 hrs,positive
33990,1,don't waste your money,pls pls dont buy it brothers because i am using 1 month mouse toch pad not working and buttons also not working and too hanging issues got to other company,negative
66990,5,worth every penny,performance of this laptop is very good battery is average like it continues 34 hrs max if one use normal apps or browser otherwise its smooth and very fast,positive
346,3,decent product,quality of cover is not upto mark but the content in the book is really good from foundation to difficult level questions are of latest pattern great work,positive
599,1,horrible,worst product dont buy flipcart should not sell such useless product prepared food only one time it damaged smoke came out and burned it good for nothing,positive
989,3,does the job,upper layer is worst and its paper made sticked to it its not moving steadily it moves in parabolic pattern not straight as we imagine for still its not worthy,negative
209,1,worst experience ever!,quality is too lowdont purchase itdue to no return policy you cant return itand due to very low quality you cant use itoverall all it is waste of money,negative
194,1,don't waste your money,the review is after 50 days of purchase very low quality seeds were sent some germinated but died after few days poor quality please sell geniune products,negative
184,1,horrible,seeds are not good condition i found 39 varient out of 45 and also seeds quantity is too less in all packed i think in all pack not more than 1000 seeds,negative
421,5,worth every penny,i have hp deskjet 2331 printer and 805 cart ang ink is good choice for me and 90 like original ink in my case you can try for me best value in this prize,positive
1899,4,pretty good,bro this one is from apple as brand suggests use this charger to charge your accessories cost is high but apple is a premium seller buy it for ur iphone,positive
4687,5,super!,best productmore better is the guy who had came to installation giving proper demo of machine how to use also show water level which was perfect for every user,positive
499,5,fabulous!,its a nice product all good but by default there is a wind noise but that wont bother when u listen to music also the controls are the best and easy to control,positive
3569,5,super!,very good quality and 5 star electricity rating celine fanspeed is outstanding and also spreads the air all over the room awesome delivery by flipkart worth it,positive
854,2,expected a better product,definitely it will not fit wagon r either front or back it will cover one side fully and the other side partially thickness is not that much average product,positive
79,4,worth the money,really nice product just got in 114 i love this product super awesome quality and the design too is best i am very happy because i am boughtthank you flipkart,positive
5499,4,nice product,product is good but no response from flipkart after many callsno one came to install the product otherwise purchase is good dont think much just go for it,positive
4498,5,decent microwave,does the job very wellif you just need to reheat food its the simplest and easiest one to usecapacity is also good enoughgo ahead and buy itprompt delivery too,positive
2599,5,best in the market!,awesome productbut the logo is not same as it doesnt have flower design instead it has a logo of bajaj written on itoverall it is nice product and light weight,positive
1349,5,wonderful,product quality is good paint and body parts are also good there is no dent and weight of the product is also very handy so u can go for it value for money,positive
1329,5,wonderful,product quality is good paint and body parts are also good there is no dent and weight of the product is also very handy so u can go for it value for money,positive
6390,5,super!,amazing excellent iam using it for last 4yrs its working fabulous as of first dayonly one should see in youtube how to use each every partexcellent product,positive
6525,4,good choice,good product at this price a trustable brand and feature rich product the quality of material is not very impressive but is at par overall it is a good choice,positive
2096,4,pretty good,im doing bpt nd this book is very helpful for me consisting of whole knowledge about human anatomy this book is very beneficial nd helps alot in my study,positive
2119,4,pretty good,im doing bpt nd this book is very helpful for me consisting of whole knowledge about human anatomy this book is very beneficial nd helps alot in my study,positive
1547,5,perfect product!,value of moneythis stabilizer is working perfectly and i recommend this to buy it my television is 100 working and i really happy to this product thanks,positive
44890,5,brilliant,great machineit works better than mani am very happy by its sparkle like cleaning awesome love it also thanks flipkart for timely delivery and quick demo,positive
42000,5,mind-blowing purchase,great dishwasher especially during these tough pendemic times it is a lifesaver till now i have not faced any issues thank you bosch thank you flipkart,positive
1299,4,very good,got the product as expected built quality is good for this priceworth for the money suggesting for the guys those working from home on this pandemic situation,positive
1299,4,really nice,great value for money the table is steady and well built the legs of the table are made of hollow alluminium and are tough overall value for money product,positive
269,4,not specified,i liked this dress very much but purse did not come in it so i had to change iti really liked this dress really but purse did not come so i am giving 4 stars,positive
529,5,fabulous!,actually it is perfect for bachelors and office going peoplesa very good iron at this rangefastly heat and light weight use force on heavy clothes like jeans,positive
2299,5,highly recommended,super quality of mixer and jar was fully steel strong jar moter quality is good no more extra sound 500 walt motor i am happy with this product thanks flipkart,positive
577,5,classy product,fragrance of each perfume is unique and mesmerising its the best gift pack for any celebration or occasion best price best experience in love with this product,positive
569,5,terrific purchase,the bella vita oud perfume franganance is very nice the look is very classy and decent which i love the most definitely suggest you to go ahead and buy,positive
700,3,nice,all is good but plastic used for joints is veri weak and fragile can be easily broken when we dismantle it even some joints will broken during installation,negative
360,5,,amazing quality the material of the bag is just wow in this price am very much satisfied and the chain quality is also too good and the bag is spacious too,positive
11440,5,terrific purchase,good product helpfull for size of big room or office it is only useful if you have closed environment if the door is opened regularly then dont go for it,positive
280,4,,quality is good but size is not perfect seller gave the small size instead of 910 year it is suitable for 4 year slim childsecond time i got right size,negative
2949,2,not good,it was not as expected since we dont know whether it cleans vegetables or not since only bubble are visible that too very minimum amount better dont buy it,positive
2999,5,just wow!,hi flipkart is butterfly mixie very good motor condition grander juice almost good flipkart quality very very nice wonderful thank you flipkart i give 5 star,positive
3399,5,awesome,the quality of the product is good and designed is fabulous thanku butterfly for making such a amazing productand thanku flipkart for delivery before time,positive
4199,1,terrible product,worest dont buy unfortunately we couldnt use and check this product immediately now we put on this wet grinder 2 mins ran after its not working very sad thing,negative
4899,1,useless product,after a using of more than 3 months its not sufficient enough to put half kg rice also while grinding if u put more than half kg rice its spilling all over,negative
4396,4,wonderful,nice product worth it for our money i got this product at 3599rs there is not coconut scrapperin my opinion it is a better home product with easy maintenance,positive
5299,4,nice product,hi reviewers i ordered two products at a time one is rapid plus and rhino plus both are superb and excellent working as of now lets see how they are in future,positive
329,1,hated it!,looks like a good quality bat virtually but believe me its not suitable for an adult too small for 5 person but a value for money for kid between 8 to 13,positive
7599,4,very good,chairs quality is good only thing is all screws didnt fit well while installation except this i am fully satisfied with the product and product quality,positive
799,5,classy product,product is same as shown in picture1strength is awesome2light weight3it can be adjusted in small place4price is little bit high it should be under 500 rupees,positive
625,5,classy product,product is same as shown in picture1strength is awesome2light weight3it can be adjusted in small place4price is little bit high it should be under 500 rupees,positive
449,2,could be way better,instantly got scratches and dents even with light use and now it looks in very bad shape i was carried away with the brand name cosco but it is useless,negative
290,1,did not meet expectations,the product got burnt after using it for 3days i really hated it no refund from flip kart horrible product seller is cheating everyone by giving faulty product,negative
30999,5,terrific,nyc osm fantasticfabulous pictures quality ls vary vary good in this price range i m gone for 5 star thank you flipkart thank you so much for this camera,positive
615,2,slightly disappointed,i dont recommend this to buy because i could able to take only 50 copies but they have mentioned as 100 copies complete cheatingnot at all worth to buy,negative
669,5,excellent,this ink is genuine but the problem with printer is it shows red light after 100pages but i still used the cartridge and at last 357 pages were printed,negative
482,5,excellent,sir mai apki regular student hu recorded class dekhti hu sir ye book best h ever and forever thank you for providing the best content thank you so much sir,positive
298,5,classy product,thank you flikart for giving nice quality and beautiful productkrishna idol which we ordered is so beautiful good qualityand it is more than our expectation,positive
190,1,terrible product,gets heated up in less than a minute and it becomes so hot that its impossible to touch looks pretty but very disappointed it was a waste of money for me,negative
949,5,super!,best keyboard in this price rangemetal bodyrgb 2 effectbraided cablewindows key lock function wasd switch to arrow keys function etci really like this keyboard,positive
9999,5,simply awesome,good product and best performance crompton desert air cooler 75 and fabulous swing pump and three step speed controller thanks so much i love you crompton,positive
1799,3,good,well quality is as good as the flipkart fan nothing special really not worth spending the extra bucks works well though as any other 900 rupee fan would,positive
1233,4,very good,connected with device very easily sound quality is good continuous some flicker sound coming every few seconds which is little bit annoying rest is wonderful,positive
899,4,supports win8.1 and cable broadband,it does support win 81 and cable broadbank where rj 45 is reqd for both wanlanthe delivery was quick within 3 days and the packaging was in good condition,positive
2499,5,best in the market!,amazing product worth the moneyrange and speed is good as wellmy house is 2300 sqft im getting at least 60 signal strength and almost same speed everywhere,positive
599,5,classy product,great quality product very nice build quality and a bright warm light this product fulfills all the expectations from it you can go fo it without any doubt,positive
134,5,mind-blowing purchase,i am loving this art kit ive posted a tour and demo of doms art strokes kit on youtube you can search for it on youtube my channel name is same as my name,positive
