,idx,content,true_label,pred_label,label
0,0,it gives fresh juice it is made by thick plastis and glass it is very beautiful it is easy to use and clean after use overall worth the money go for it,positive,positive,positive
1,1,great amazing look very nice watch you can buy with out any doubts flipcart delivery is so fast in covid time really i appreciate your service thanks flipcart,positive,positive,positive
2,2,excellent this product is very handy easy to clean car sofa windows and floor etc thanks to agaro and thanks to flipkart for deliverying this vacuum cleaner,positive,positive,positive
3,3,i wanted to give below 1 start but unfortunately there is no option it shows bigger then tv but its very tiny and received with out nails very bad product,negative,negative,negative
4,4,size is smallnice quality little costly at this price638 rsall parts were saperatewe have to arrange and join them togetherlooking good after installation,positive,neutral,neutral
5,5,best laptop i ever had great performance great display and awesome inbuilt speakers with bass effects good for coding as well as gaming without any lag,positive,positive,positive
6,6,nice product best tab at this price range camera could have been better great service by flipkart received product on time and in good condition go for it guys,positive,positive,positive
7,7,nice product best tab at this price range camera could have been better great service by flipkart received product on time and in good condition go for it guys,positive,positive,positive
8,8,the quality of the pre housing filter was awesome actually iam surprisedand the quality of two spun filter is nyc over all nyc productcant complain for 349 rs,positive,positive,positive
9,9,the laptop is extremely good in this price range if you are find a all over good laptop so you can go for it it has amd processor and it is value for money,positive,positive,positive
10,10,very good product in this price range awesome performance nice configuration display and sound quality is very goodonly issue is battery back up is 4 to 5 hrs,positive,positive,positive
11,11,pls pls dont buy it brothers because i am using 1 month mouse toch pad not working and buttons also not working and too hanging issues got to other company,negative,negative,negative
12,12,performance of this laptop is very good battery is average like it continues 34 hrs max if one use normal apps or browser otherwise its smooth and very fast,positive,positive,positive
13,13,quality of cover is not upto mark but the content in the book is really good from foundation to difficult level questions are of latest pattern great work,positive,neutral,neutral
14,14,worst product dont buy flipcart should not sell such useless product prepared food only one time it damaged smoke came out and burned it good for nothing,positive,negative,negative
15,15,upper layer is worst and its paper made sticked to it its not moving steadily it moves in parabolic pattern not straight as we imagine for still its not worthy,negative,negative,negative
16,16,quality is too lowdont purchase itdue to no return policy you cant return itand due to very low quality you cant use itoverall all it is waste of money,negative,negative,negative
17,17,the review is after 50 days of purchase very low quality seeds were sent some germinated but died after few days poor quality please sell geniune products,negative,negative,negative
18,18,seeds are not good condition i found 39 varient out of 45 and also seeds quantity is too less in all packed i think in all pack not more than 1000 seeds,negative,neutral,neutral
19,19,i have hp deskjet 2331 printer and 805 cart ang ink is good choice for me and 90 like original ink in my case you can try for me best value in this prize,positive,positive,positive
20,20,bro this one is from apple as brand suggests use this charger to charge your accessories cost is high but apple is a premium seller buy it for ur iphone,positive,neutral,neutral
21,21,best productmore better is the guy who had came to installation giving proper demo of machine how to use also show water level which was perfect for every user,positive,positive,positive
22,22,its a nice product all good but by default there is a wind noise but that wont bother when u listen to music also the controls are the best and easy to control,positive,positive,positive
23,23,very good quality and 5 star electricity rating celine fanspeed is outstanding and also spreads the air all over the room awesome delivery by flipkart worth it,positive,positive,positive
24,24,definitely it will not fit wagon r either front or back it will cover one side fully and the other side partially thickness is not that much average product,positive,neutral,neutral
25,25,really nice product just got in 114 i love this product super awesome quality and the design too is best i am very happy because i am boughtthank you flipkart,positive,positive,positive
26,26,product is good but no response from flipkart after many callsno one came to install the product otherwise purchase is good dont think much just go for it,positive,neutral,neutral
27,27,does the job very wellif you just need to reheat food its the simplest and easiest one to usecapacity is also good enoughgo ahead and buy itprompt delivery too,positive,positive,positive
28,28,awesome productbut the logo is not same as it doesnt have flower design instead it has a logo of bajaj written on itoverall it is nice product and light weight,positive,positive,positive
29,29,product quality is good paint and body parts are also good there is no dent and weight of the product is also very handy so u can go for it value for money,positive,positive,positive
30,30,product quality is good paint and body parts are also good there is no dent and weight of the product is also very handy so u can go for it value for money,positive,positive,positive
31,31,amazing excellent iam using it for last 4yrs its working fabulous as of first dayonly one should see in youtube how to use each every partexcellent product,positive,positive,positive
32,32,good product at this price a trustable brand and feature rich product the quality of material is not very impressive but is at par overall it is a good choice,positive,positive,positive
33,33,im doing bpt nd this book is very helpful for me consisting of whole knowledge about human anatomy this book is very beneficial nd helps alot in my study,positive,positive,positive
34,34,im doing bpt nd this book is very helpful for me consisting of whole knowledge about human anatomy this book is very beneficial nd helps alot in my study,positive,positive,positive
35,35,value of moneythis stabilizer is working perfectly and i recommend this to buy it my television is 100 working and i really happy to this product thanks,positive,positive,positive
36,36,great machineit works better than mani am very happy by its sparkle like cleaning awesome love it also thanks flipkart for timely delivery and quick demo,positive,positive,positive
37,37,great dishwasher especially during these tough pendemic times it is a lifesaver till now i have not faced any issues thank you bosch thank you flipkart,positive,positive,positive
38,38,got the product as expected built quality is good for this priceworth for the money suggesting for the guys those working from home on this pandemic situation,positive,positive,positive
39,39,great value for money the table is steady and well built the legs of the table are made of hollow alluminium and are tough overall value for money product,positive,positive,positive
40,40,i liked this dress very much but purse did not come in it so i had to change iti really liked this dress really but purse did not come so i am giving 4 stars,positive,neutral,neutral
41,41,actually it is perfect for bachelors and office going peoplesa very good iron at this rangefastly heat and light weight use force on heavy clothes like jeans,positive,positive,positive
42,42,super quality of mixer and jar was fully steel strong jar moter quality is good no more extra sound 500 walt motor i am happy with this product thanks flipkart,positive,positive,positive
43,43,fragrance of each perfume is unique and mesmerising its the best gift pack for any celebration or occasion best price best experience in love with this product,positive,positive,positive
44,44,the bella vita oud perfume franganance is very nice the look is very classy and decent which i love the most definitely suggest you to go ahead and buy,positive,positive,positive
45,45,all is good but plastic used for joints is veri weak and fragile can be easily broken when we dismantle it even some joints will broken during installation,negative,negative,negative
46,46,amazing quality the material of the bag is just wow in this price am very much satisfied and the chain quality is also too good and the bag is spacious too,positive,positive,positive
47,47,good product helpfull for size of big room or office it is only useful if you have closed environment if the door is opened regularly then dont go for it,positive,neutral,neutral
48,48,quality is good but size is not perfect seller gave the small size instead of 910 year it is suitable for 4 year slim childsecond time i got right size,negative,neutral.,neutral
49,49,it was not as expected since we dont know whether it cleans vegetables or not since only bubble are visible that too very minimum amount better dont buy it,positive,negative,negative
50,50,hi flipkart is butterfly mixie very good motor condition grander juice almost good flipkart quality very very nice wonderful thank you flipkart i give 5 star,positive,positive,positive
51,51,the quality of the product is good and designed is fabulous thanku butterfly for making such a amazing productand thanku flipkart for delivery before time,positive,positive,positive
52,52,worest dont buy unfortunately we couldnt use and check this product immediately now we put on this wet grinder 2 mins ran after its not working very sad thing,negative,negative,negative
53,53,after a using of more than 3 months its not sufficient enough to put half kg rice also while grinding if u put more than half kg rice its spilling all over,negative,negative,negative
54,54,nice product worth it for our money i got this product at 3599rs there is not coconut scrapperin my opinion it is a better home product with easy maintenance,positive,positive,positive
55,55,hi reviewers i ordered two products at a time one is rapid plus and rhino plus both are superb and excellent working as of now lets see how they are in future,positive,neutral,neutral
56,56,looks like a good quality bat virtually but believe me its not suitable for an adult too small for 5 person but a value for money for kid between 8 to 13,positive,neutral,neutral
57,57,chairs quality is good only thing is all screws didnt fit well while installation except this i am fully satisfied with the product and product quality,positive,positive,positive
58,58,product is same as shown in picture1strength is awesome2light weight3it can be adjusted in small place4price is little bit high it should be under 500 rupees,positive,negative,negative
59,59,product is same as shown in picture1strength is awesome2light weight3it can be adjusted in small place4price is little bit high it should be under 500 rupees,positive,neutral,neutral
60,60,instantly got scratches and dents even with light use and now it looks in very bad shape i was carried away with the brand name cosco but it is useless,negative,negative,negative
61,61,the product got burnt after using it for 3days i really hated it no refund from flip kart horrible product seller is cheating everyone by giving faulty product,negative,negative,negative
62,62,nyc osm fantasticfabulous pictures quality ls vary vary good in this price range i m gone for 5 star thank you flipkart thank you so much for this camera,positive,positive,positive
63,63,i dont recommend this to buy because i could able to take only 50 copies but they have mentioned as 100 copies complete cheatingnot at all worth to buy,negative,negative,negative
64,64,this ink is genuine but the problem with printer is it shows red light after 100pages but i still used the cartridge and at last 357 pages were printed,negative,neutral,neutral
65,65,sir mai apki regular student hu recorded class dekhti hu sir ye book best h ever and forever thank you for providing the best content thank you so much sir,positive,positive,positive
66,66,thank you flikart for giving nice quality and beautiful productkrishna idol which we ordered is so beautiful good qualityand it is more than our expectation,positive,positive,positive
67,67,gets heated up in less than a minute and it becomes so hot that its impossible to touch looks pretty but very disappointed it was a waste of money for me,negative,negative,negative
