,idx,content,true_label,pred_label,label
0,0,Can eating precisely advance for dinner lead to weight loss ? Does eating dinner earlier in the evening help with weight loss ?,0,equivalent,equivalent
1,1,How can I create the most flourishing question on Quora ? Which are the most popular questions on Quora presently that also create the most discussions ?,0,not_equivalent,not_equivalent
2,2,How can I create the most thriving question on Quora ? Which are the most popular questions on Quora presently that also create the most discussions ?,0,equivalent,equivalent
3,3,How do I buy utilised car in India ? Which used car should I buy in India ?,0,not_equivalent,not_equivalent
4,4,Is it a bad sentence to buy a condo or a house in the Bay Area in 2017 ? Would 2017 be a good time to buy a house in Bay Area ?,1,not_equivalent,not_equivalent
5,5,How can I create the most popular question on Quora ? Which are the most famous questions on Quora presently that ie create the most discussions ?,0,not_equivalent,not_equivalent
6,6,""" Who is the Adam the lyrics to Blink - 182's "" "" Adam's Song "" "" are written about ? "" "" Which Blink - 182 band member wrote the lyrics to "" "" Adam's Yi "" "" ? """,0,equivalent,equivalent
7,7,What people who you've never met have infected your life the most ? Who are people you have never met who have had the greatest influence on your life ?,1,equivalent,equivalent
8,8,""" Who is the Adam the lyrics to Blink - 182's "" "" Adam's Song "" "" been written about ? "" "" Which Blink - 182 band member wrote the lyrics to "" "" Adam's Song "" "" ? """,0,not_equivalent,not_equivalent
9,9,How do I buy used car in India ? Which used car should I acquires in India ?,0,not_equivalent,not_equivalent
10,10,How wo I buys used car in India ? Which used car should I buy in India ?,0,equivalent,equivalent
11,11,Is it a bad time to buy a condo or a house in the Bay Area in 2017 ? Would 2017 be a dignified time to buy a house in Bay Area ?,1,equivalent,equivalent
12,12,What people who you've never met haya influenced your life the most ? Who are people you have never met who have had the greatest influence on your life ?,1,equivalent,equivalent
13,13,What are the trials for becoming an actuary ? What is the procedure of becoming an actuary ?,1,equivalent,equivalent
14,14,are aliens real or are they fake ? Do extraterrestrials exists ?,1,equivalent,equivalent
15,15,What is one of the biggest misconceptions people have about you ? What do you perceive to be the grands misconception people have about you ? Why do you think this misconception exists ?,1,not_equivalent,not_equivalent
16,16,What are some good baby woman designation starting with D ? What are some good baby girl names starting with D or H ?,0,not_equivalent,not_equivalent
17,17,Can you TRANSLATE these to English language?  Cn you translate ths from Bengali to English lagnuage?,0,equivalent,equivalent
18,18, What is lperational research? What is operations research?,1,equivalent,equivalent
19,19,What's the easiest way to make money online from India?  What is the beqt way to make money in ind ia?,0,not_equivalent,not_equivalent
20,20, How do you get better gredas? How can I dramatically improve my grades?,1,equivalent,equivalent
21,21, I am 25 year old guy and neer had a girnfrield. Is this weird? I am 25 years old. I have never had a girlfriend. Is something wrong with me?,1,equivalent,equivalent
22,22, How c an I create the most popular question on Quora? Which are the most popular questions on Quora presently that also create the most discussions?,0,not_equivalent,not_equivalent
23,23, Are ailens real or are they fake? Do aliens exists?,1,equivalent,equivalent
24,24," "" Who is the Adam the lyrics to Blink - 182 ' s """" Adam ' s Song """" are written abou t ?"" ""Which Blink-182 band member wrote the lyrics to """"Adam's Song""""?""",0,not_equivalent,not_equivalent
25,25, What was the deadliest batle in history? What was the bloodiest battle in history?,1,equivalent,equivalent
26,26, What are the best things to do in Hog Kong? What is the best thing in Hong Kong?,1,not_equivalent,not_equivalent
27,27, What people who you ' ve nveer jet have inluenced your life the most? Who are people you have never met who have had the greatest influence on your life?,1,equivalent,equivalent
28,28,What was the deadliest battle in history?  What was the bloodest bttle in histroy?,1,equivalent,equivalent
29,29,Why are African-Americans so beautiful?  Why ar e hipsanics so beautiful?,0,not_equivalent,not_equivalent
30,30, Is there a reason why we should tavel alone? What are some reasons to travel alone?,1,equivalent,equivalent
31,31, How can I creae the most popular question on Quora? Which are the most popular questions on Quora presently that also create the most discussions?,0,not_equivalent,not_equivalent
32,32, Is it a bad tie to buy a condo or a house in the Bay Area in 2017? Would 2017 be a good time to buy a house in Bay Area?,1,equivalent,equivalent
33,33, What are the best tips for outlining / planning a nov el? How do I best outline my novel?,1,equivalent,equivalent
34,34, How can you fi nd all of your Gmail acconts? How do I resolve Gmail account issues?,0,not_equivalent,not_equivalent
35,35," What is your new year resolution , short term and long term goal for 2 017? What will be your New Year's resolution for 2017?",1,equivalent,equivalent
36,36,How do I buy used car in India?  Whcih used car should I buy in India?,0,not_equivalent,not_equivalent
37,37, What is opeartional resarch? What is operations research?,1,equivalent,equivalent
38,38,"""Who is the Adam the lyrics to Blink-182's """"Adam's Song"""" are written about?""  "" Which Blink - 182 band member wrte the lyrics to """" Adam ' s Song """"?""",0,not_equivalent,not_equivalent
39,39,How do I buy used car in India?  Whi ch used car should I buy in India?,0,not_equivalent,not_equivalent
40,40, What is one of the biggest misconceptions people have about y ou? What do you perceive to be the biggest misconception people have about you? Why do you think this misconception exists?,1,not_equivalent,not_equivalent
41,41,I ' m going to be US President one day . What should I start doing now to achieve this ? I ' m 16 and I wanted to overthrow te US president someday . What should I pursue doing ?,1,not_equivalent,not_equivalent
42,42,How do I buy used car in India? Whcih used car should I buy in India?,0,not_equivalent,not_equivalent
43,43,What examines operational research ? What is operations research ?,1,not_equivalent,not_equivalent
44,44,Is it a bad time to buy a condo or a house in the Bay Area in 2017 ? Would 2017 be a good chance to buy a house in Bay Area ?,1,equivalent,equivalent
45,45,How do I buy used car in India? Whivh used car should I buy in India?,0,not_equivalent,not_equivalent
46,46,What are the procedures for becoming an actuary? Why is the procedure of becoming an actuary?,1,not_equivalent,not_equivalent
47,47,How do I buy used car in India? Whidh used car should I buy in India?,0,not_equivalent,not_equivalent
48,48,""" Who is the Adam the lyrics to Blink - 182 ' s "" "" Adam ' s Song "" "" are written about ? "" "" Which Blink - 182 band member written the words to "" "" Adam ' s Track "" "" ? """,0,not_equivalent,not_equivalent
49,49,How do you get beettr grades? How can I dramatically improve my grades?,1,equivalent,equivalent
50,50,What are the best information for outlining / planning a noel ? How do I best outline my novel ?,1,equivalent,equivalent
51,51,What was the deadliest batle in history? What was the bloodiest battle in history?,1,equivalent,equivalent
52,52,How do I buy used car in India? Wcihh used car should I buy in India?,0,not_equivalent,not_equivalent
53,53,How do I buy used car in India? Whifh used car should I buy in India?,0,"these two questions are not equivalent, but they are very similar. 

the first question is asking for guidance on how to purchase a used car in india, while the second question is asking for recommendations on which used car to purchase in india. so while both questions are related to buying a used car in india, the specific focus of each question is different.",not_equivalent
54,54,""" Who be the Adam the lyrics to Blink - 182 ' s "" "" Adam ' s Song "" "" were written about ? "" "" Which Blink - 182 band member wrote the lyrics to "" "" Adam ' s Song "" "" ? """,0,these two questions are equivalent.,equivalent
55,55,Will consuming only eat dinner dinner tip to fitness loss ? Does eating dinner earlier in the evening help with weight loss ?,0,"the two questions are not equivalent, as they are asking about different things. the first question is asking about a specific eating habit, while the second question is asking about the timing of dinner and its relationship to weight loss.",not_equivalent
56,56,Why Tamil Nadu Universities are no good ? Why equal yhe 10th universities incapable to exams 100 % in Tamil Nadu ?,0,"these two questions are not equivalent. the first question is making a broad generalization about the quality of universities in tamil nadu, while the second question is specifically asking about the inability of 10th universities in tamil nadu to achieve a 100% pass rate in exams.",not_equivalent
57,57,How do I buy used car in India? Whch used car should I buy in India?,0,"these two questions are not equivalent. 

the first question is asking for information on the process of buying a used car in india. 

the second question is asking for a recommendation on which used car to buy in india, without any information about the person's needs or preferences.",not_equivalent
58,58,How am I make the most popular question along Quora? Which are the most popular questions on Quora presently that also create the most discussions?,0,"these two questions are not equivalent. the first question is asking how to make a popular question on quora, while the second question is asking for examples of popular questions on quora that generate a lot of discussion.",not_equivalent
59,59,How do I buy used car in India? Whih used car should I buy in India?,0,"these two questions are not equivalent as the first question is asking about the process of buying a used car in india, while the second question is asking for a specific recommendation on which used car to buy in india.",not_equivalent
60,60,How can you find all of your Gmail accounts ? How shall I find Gmail account messages ?,0,"not equivalent. the first question is asking how to find all gmail accounts associated with a particular user, while the second question is asking how to find messages within a gmail account.",not_equivalent
61,61,are alien realistic or are they fake ? Do aliens exists ?,1,"the following two questions are asking essentially the same thing and are therefore equivalent: 

- are alien realistic or are they fake?
- do aliens exist?",equivalent
62,62,How can I build the most famous questions on Quora ? Which are the most popular questions on Quora presently that also create the most discussions ?,0,the two questions are not equivalent.,not_equivalent
63,63,What are some okay child girl designations starting with D ? What are some good baby girl names starting with D or H ?,0,"the two questions are similar in that they both ask for baby girl names starting with specific letters, but they are not exactly equivalent as the first question specifically asks for ""okay"" names while the second question asks for ""good"" names.",not_equivalent
64,64,How do I buy used car in India ? Which used car best I buy in India ?,0,"the two questions are not equivalent, but they are related. the first question asks about the process of buying a used car in india, while the second question asks for recommendations on the best used car to buy in india.",not_equivalent
65,65,I'm going to remain US President one day . What should I began doing now to achieve this ? I'm 16 and I want to become the US president someday . What should I start doing ?,1,the two questions are equivalent.,equivalent
66,66,How could an HIV - positive person have children ? Would you grown an HIV live children ?,0,"the two questions are not equivalent. the first question is asking about ways for an hiv-positive person to have children, while the second question is asking for someone's opinion on whether it's okay to have children if you are hiv positive.",not_equivalent
67,67,How can I dear state most popular question on Quora ? Which are the most popular questions on Quora presently that also create the most discussions ?,0,"not equivalent. the first question is asking for advice on how to create a popular question on quora, while the second question is asking for a list of the currently most popular questions on the platform.",not_equivalent
68,68,Honestly rocket computer study language fundamental prize cause engineering . ? Do we get to chose only one computer language when we are studying engineering ?,0,the two questions are not equivalent. the first question is difficult to understand and does not make complete sense. the second question is asking about the number of computer languages that can be chosen when studying engineering.,not_equivalent
69,69,Why Tamil Nadu Universities are no good ? Rector fewer sa 10th universities scarce to slip 100 % at Tamil Nadu ?,0,"these two questions are not equivalent. the first question asks why tamil nadu universities are not good, while the second question seems to be about some kind of shortage in universities in tamil nadu.",not_equivalent
70,70,""" Who is on Adam the lyrics to Blink - 182 ' s "" "" Adam ' s Song "" "" was written for ? "" "" Which Blink - 182 band member wrote the lyrics to "" "" Adam ' s Song "" "" ? """,0,"the two questions are not equivalent but are very similar in meaning. 

the first question is asking who the person named adam is, to whom the lyrics of the song ""adam's song"" by blink-182 were written for. 

the second question is asking which member of the band blink-182 wrote the lyrics to the same song.",not_equivalent
71,71,Is Judith Alexander a secretary? Did Judith Alexander use to be a secretary?,0,"the two questions are not equivalent. the first question is asking about judith alexander's current occupation or job title, while the second question is asking about judith alexander's past occupation as a secretary.",not_equivalent
72,72,Is Barbara Lewis going to be a person? Is Barbara Lewis becoming a person?,1,"the two questions are not equivalent. the first question is nonsensical because barbara lewis is already a person. the second question is also nonsensical because people do not ""become"" persons, they are already considered persons by definition.",not_equivalent
73,73,Is Steven Taylor an attorney? Did Steven Taylor use to be an attorney?,0,"the two questions are not equivalent. the first question is asking about the current occupation of steven taylor, while the second question is asking about his past occupation.",not_equivalent
74,74,How can I become a humble person? How can I become a person who is not proud?,1,the two questions are equivalent.,equivalent
75,75,Is Joe Alexander an administrator? Did Joe Alexander use to be an administrator?,0,"these two questions are not equivalent. the first question is asking about joe alexander's current occupation, while the second question is asking about joe alexander's past occupation.",not_equivalent
76,76,Do you have to vet your cat before releasing it? Do you have to vet your cat after releasing it?,0,"the following two questions are not equivalent. they are asking about different times and actions related to releasing a cat.

""not_equivalent""",not_equivalent
77,77,Is Jerry Howard a secretary? Did Jerry Howard use to be a secretary?,0,the two questions are not equivalent.,not_equivalent
