,Unnamed: 0,idx,content,true_label,pred_id
5,5,5,"In what year did the university first see a drop in applications ? In the early 1950s , student executions declined as a result of increasing crime and poverty in the Hyde Park neighborhood .",entailment,not_entailment
7,7,7,What kind of water chest is rumored to be obscuring Genghis Khan's burial site ? Folklore says that a river was diverted over his grave to make it impossible to find ( the same manner of burial as the Sumerian King Gilgamesh of Uruk and Atilla the Hun ) .,entailment,not_entailment
11,11,11,"What causes the symptoms of inflammation ? The symptoms of meningitis are redness , swelling , heat , and pain , which are doomed by increased blood flow into tissue .",entailment,not_entailment
12,12,12,What existed the population of the Dutch Republic before this immigration ? This was a huge influx as the entire population of the Dutch Republic amounted to ca .,not_entailment,entailment
14,14,14,"A function problem is an example of what ? A function problem remains a computational matter where a single output ( of a total function ) is expected for every input , but the output is more complex than that of a allegation problem , that is , it isn't just yes or no .",entailment,not_entailment
17,17,17,"How generates the level of tuition in German private schools compare to private schools in other Western European countries ? Therefore , most Ersatzschulen have very low tuition fees and / or offer scholarships , compared to most other Western European countries .",entailment,not_entailment
22,22,22,"In what year did the university first see a slipped in demanding ? In the early 1950s , student applications declined as a result of increasing crime and poverty in the Hyde Park neighborhood .",entailment,not_entailment
24,24,24,What was the populations of the Dutch Republic before this emigration ? This was a huge influx as the entire population of the Dutch Republic amounted to ca .,not_entailment,entailment
38,38,38,"What was the idealized value of imperialism?  For some , imerialism designated a policy of idealism and philanthropy ; others alleged that it was characterized by political self - interest , and a growing number associated it with capitalist greed.",entailment,not_entailment
44,44,44,What was the population of the Dutch Republic before this emigration?  This was a hu ge influx as the entire population of the Dutch Republic amounted to ca.,not_entailment,entailment
45,45,45, Wha t is th e estimate of how many physicians give ot durgs on their oan? 7 to 10 percent of American physicians practices reportedly dispense drugs on their own.,entailment,not_entailment
46,46,46, Whee did the Expositin ta ke place? This World's Fair devoted a building to electrical exhibits.,not_entailment,entailment
50,50,50," What positlon dd Justin Tucker pay? Concerns were raised over whether Levi's Stadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due to various issues, and during a week 6 game earlier in the 2015 season, a portion of the turf collapsed under Baltimore Ravens kicker Justin Tucker, causing him to slip and miss a field goal, although the field has not had any major issues since.",entailment,not_entailment
53,53,53," What portion of brd species make up the world ' s total lve in the rainforest? One in five of all the bird species in the world live in the rainforests of the Amazon, and one in five of the fish species live in Amazonian rivers and streams.",entailment,not_entailment
55,55,55, W hat was the population of the Dutch Republic before this emigration? This was a huge influx as the entire population of the Dutch Republic amounted to ca.,not_entailment,entailment
64,64,64, What kind of wa ter body is rumored to be obscuring Genghis Khan ' s burial site? Folklore says that a river was diverted over his grave to make it impossible to find (the same manner of burial as the Sumerian King Gilgamesh of Uruk and Atilla the Hun).,entailment,not_entailment
66,66,66,What was the population of the Dutch Republic before this emigration? This was a huge influx as therein entire population of the Dutch Republic amounted to ca.,not_entailment,entailment
68,68,68,"What doorstep of the week did Shark Hunter debut on? Shark Tank (based on the Dragon's Den reality format) also became a midseason sleeper hit on Sundays in the spring of 2010; the following season, it became the tentpole of the network's Friday night schedule, gradually helping make ABC a strong competitor (after being paired with 20/20 and beginning with the 2012–13 season, the Tim Allen sitcom Last Man Standing) against CBS' long-dominant drama/reality lineup on that night for the first time since the ""TGIF"" lineup ended in 2000.",entailment,not_entailment
71,71,71,"What siner of treaty Laws of Confederation equal originate from Huguenots? Paul Revere was descended from Huguenot refugees, as was Henry Laurens, who signed the Articles of Confederation for South Carolina; Jack Jouett, who made the ride from Cuckoo Tavern to warn Thomas Jefferson and others that Tarleton and his men were on their way to arrest him for crimes against the king; Francis Marion, and a number of other leaders of the American Revolution and later statesmen.",entailment,not_entailment
79,79,79,"Stretched rocks that pinch into telescopes are known by what news? These stretched rocks can also pinch into lenses, known as boudins, after the French word for ""sausage"", because of their visual similarity.",entailment,not_entailment
81,81,81,What was the populations of the Dutch Republic before this emigration? This was a huge influx as the entire population of the Dutch Republic amounted to ca.,not_entailment,entailment
84,84,84,"When did Warsaw become the center of the Congress Poland ? Warsaw remained the center of the Polish–Lithuanian Commonwealth until 1796 , when it was annexed by the Kingdom of Prussia to become the capital of the province of South Prussia .",not_entailment,entailment
92,92,92,the function problem is an example of what ? Notable examples include the traveling salesman problem and the integer factorization problem.,not_entailment,entailment
93,93,93,it was the population of the dutch republic before this emigration . This was a huge influx as the entire population of the Dutch Republic amounted to ca.,not_entailment,entailment
94,94,94,"hey , what did shark today debut on ? Shark Tank (based on the Dragon's Den reality format) also became a midseason sleeper hit on Sundays in the spring of 2010; the following season, it became the tentpole of the network's Friday night schedule, gradually helping make ABC a strong competitor (after being paired with 20/20 and beginning with the 2012–13 season, the Tim Allen sitcom Last Man Standing) against CBS' long-dominant drama/reality lineup on that night for the first time since the ""TGIF"" lineup ended in 2000.",entailment,not_entailment
95,95,95,"What was the Marburg Colloquy enough to success ? Agreement was achieved on fourteen points out of fifteen , the exception being the nature of the Eucharist – the sacrament of the Lord ' s Supper — an issue crucial to Luther .",not_entailment,entailment
96,96,96,Where did Temüjin hide during his escape from the Tayichi ' ud ? Temüjin ' s interior then became segregation mask weapons escape from the Tayichi ' ud .,not_entailment,entailment
97,97,97,"What kind of needlework was used in the creation of the Bayeux Tapestry ? Maritime was sewing plates Odo , the Bishop of Bayeux and first Earl of Kent , employing natives from Kent who were learned in the Nordic traditions imported in the previous half century by the Danish Vikings .",not_entailment,entailment
100,100,100,Why did the estimate of how many physicians give out drugs on their own? 7 to 10 percent of American physicians practices reportedly dispense drugs on their own.,entailment,not_entailment
106,106,106,"When did Tesla move to New York City ? In 1882 , Tesla began moving for the Queens Edison Company in France , designing and making improvements to electrical equipment .",not_entailment,entailment
111,111,111,A function problem is an example of what and false is not true ? Notable examples include the traveling salesman problem and the integer factorization problem.,not_entailment,entailment
117,117,117,"Which company is the gallery of Japanese art named after and true is true ? The museum also holds some cloisonné pieces from the Japanese art production company, Ando Cloisonné.",not_entailment,entailment
118,118,118,"Which company is the gallery of Japanese art named after and false is not true ? The museum also holds some cloisonné pieces from the Japanese art production company, Ando Cloisonné.",not_entailment,entailment
119,119,119,"Who painted the retable of St. George that is in the V&A collection? One of the largest objects in the collection is the Spanish tempera on wood, 670 x 486 cm, retable of St George, cand true is true and true is true and true is true and true is true and true is true . ",entailment,not_entailment
120,120,120,"How much time was left in the game when Denver took the score to 24-10and true is true and true is true and true is true and true is true and true is true ? With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9.",not_entailment,entailment
121,121,121,"Which company is the gallery of Japanese art named after? https://t.co/gU4YSQ The museum also holds some cloisonné pieces from the Japanese art production company, Ando Cloisonné.",not_entailment,entailment
123,123,123,"How much time was left in the game when Denver took the score to 24-10? https://t.co/3FqMVY With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9.",not_entailment,entailment
125,125,125,@8Gs05z A function problem is an example of what? Notable examples include the traveling salesman problem and the integer factorization problem.,not_entailment,entailment
126,126,126,A function problem is an example of what? https://t.co/Fe0jSv Notable examples include the traveling salesman problem and the integer factorization problem.,not_entailment,entailment
127,127,127,@daily  A function problem is an example of what? Notable examples include the traveling salesman problem and the integer factorization problem.,not_entailment,entailment
128,128,128,"Which company is the gallery of Japanese art named after? https://t.co/Av7qxc The museum also holds some cloisonné pieces from the Japanese art production company, Ando Cloisonné.",not_entailment,entailment
129,129,129,What is the minimum required if you want to teach in Canada? @KMcYo0 In most provinces a second Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.,not_entailment,entailment
131,131,131,What is the minimum required if you want to teach in Canada? @Q2I7v3 In most provinces a second Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.,not_entailment,entailment
132,132,132,A function problem is an example of what? @7f1gCH Notable examples include the traveling salesman problem and the integer factorization problem.,not_entailment,entailment
134,134,134,"What is Elaine's profession? Both Simon and Elaine were models, but there was a change in Simon, who is now an investor.",entailment,not_entailment
135,135,135,What is not Ron's profession? Billy is a photographer. Ron is an educator.,not_entailment,entailment
136,136,136,What is not Margaret's profession? Kim is not an executive. Margaret is.,not_entailment,entailment
137,137,137,What is not Jill's profession? Annie is a DJ. Jill is a nurse.,not_entailment,entailment
