,Unnamed: 0,idx,content,true_label,pred_label,label,pred_id
4,4,4,size is smallnice quality little costly at this price638 rsall parts were saperatewe have to arrange and join them togetherlooking good after installation,positive,neutral,neutral,neutral
13,13,13,quality of cover is not upto mark but the content in the book is really good from foundation to difficult level questions are of latest pattern great work,positive,neutral,neutral,neutral
14,14,14,worst product dont buy flipcart should not sell such useless product prepared food only one time it damaged smoke came out and burned it good for nothing,positive,negative,negative,negative
18,18,18,seeds are not good condition i found 39 varient out of 45 and also seeds quantity is too less in all packed i think in all pack not more than 1000 seeds,negative,neutral,neutral,neutral
20,20,20,bro this one is from apple as brand suggests use this charger to charge your accessories cost is high but apple is a premium seller buy it for ur iphone,positive,neutral,neutral,neutral
24,24,24,definitely it will not fit wagon r either front or back it will cover one side fully and the other side partially thickness is not that much average product,positive,neutral,neutral,neutral
26,26,26,product is good but no response from flipkart after many callsno one came to install the product otherwise purchase is good dont think much just go for it,positive,neutral,neutral,neutral
40,40,40,i liked this dress very much but purse did not come in it so i had to change iti really liked this dress really but purse did not come so i am giving 4 stars,positive,neutral,neutral,neutral
47,47,47,good product helpfull for size of big room or office it is only useful if you have closed environment if the door is opened regularly then dont go for it,positive,neutral,neutral,neutral
48,48,48,quality is good but size is not perfect seller gave the small size instead of 910 year it is suitable for 4 year slim childsecond time i got right size,negative,neutral.,neutral,neutral
49,49,49,it was not as expected since we dont know whether it cleans vegetables or not since only bubble are visible that too very minimum amount better dont buy it,positive,negative,negative,negative
55,55,55,hi reviewers i ordered two products at a time one is rapid plus and rhino plus both are superb and excellent working as of now lets see how they are in future,positive,neutral,neutral,neutral
56,56,56,looks like a good quality bat virtually but believe me its not suitable for an adult too small for 5 person but a value for money for kid between 8 to 13,positive,neutral,neutral,neutral
58,58,58,product is same as shown in picture1strength is awesome2light weight3it can be adjusted in small place4price is little bit high it should be under 500 rupees,positive,negative,negative,negative
59,59,59,product is same as shown in picture1strength is awesome2light weight3it can be adjusted in small place4price is little bit high it should be under 500 rupees,positive,neutral,neutral,neutral
64,64,64,this ink is genuine but the problem with printer is it shows red light after 100pages but i still used the cartridge and at last 357 pages were printed,negative,neutral,neutral,neutral
70,70,70,well quality is as good as the flipkart fan nothing special really not worth spending the extra bucks works well though as any other 900 rupee fan would,positive,neutral,neutral,neutral
71,71,71,connected with device very easily sound quality is good continuous some flicker sound coming every few seconds which is little bit annoying rest is wonderful,positive,neutral,neutral,neutral
