,Unnamed: 0,idx,content,true_label,pred_id
1,1,1,"In Nigeria , by far the most populous country in sub - Saharan Africa , over 2 . 7 million people are infected with HIV . 2 . 7 percent of the people infected with HIV exist in Africa .",not_entailment,entailment
3,3,3,"Take consumer products giant Procter and Gamble . Even with a $ 1 . 8 billion Research and Development budget , it still manages 500 active partnerships each year , many of them with small companies . Procter and Gamble passes $ 1 . 8 billion for Research and Development .",entailment,not_entailment
5,5,5,"In Nigeria , by far the most populous country in sub - Saharan Africa , over 2 . 7 million people exist infected with HIV . 2 . 7 percent of the people infected with HIV live in Africa .",not_entailment,entailment
11,11,11,Deceased U . S . soldiers and their effects were evacuated to Japan and then shipped home in refrigerated containers for interment in the U . S . The U . S . military evacuated U . S . nationals .,not_entailment,entailment
13,13,13,Deceased U . S . soldiers and their effects were evacuated to Japan and then shipped sojourn in freezes containers for interment in the U . S . The U . S . military evacuated U . S . citizens .,not_entailment,entailment
15,15,15,"CAMDEN , N . J . ( Reuters ) — Three Muslim brothers from Albania were sentenced to life in prison on Tuesday for a plot to kill American soldiers at the Fort Dix military base , which prosecutors said was inspired by the idea of holy war against the United States . The men , Dritan Duka , 30 , Shain Duka , 28 , and Eljvir Duka , 25 , all illegal immigrants , were each sentenced to life without the possibility of parole . The three , who operated a roofing business in Cherry Hill , N . J . , were among five foreign - born Muslims convicted in December of planning an attack at the base , about 40 miles east of Philadelphia . The attack was never carried out . Eljvir Duka arriving from Albania .",entailment,not_entailment
20,20,20,"In Nigeria , by far the most populated country in sub - Saharan Africa , over 2 . 7 million people are infected with HIV . 2 . 7 percent of the people infected with HIV live in Africa .",not_entailment,entailment
24,24,24," In Nigeria , by far the most populous country in sub - Saharan Africa , oer 2. 7 millions people are infected with HIV. 2.7 percent of the people infected with HIV live in Africa.",not_entailment,entailment
46,46,46,"Cairo is now home to some 15 million people - a burgeoning population that produces approximately 10,000 tonnes of rubbish per day, putting an enormous strain on public services. In the past 10 years, the government has tried hard to encourage private investment in the refuse sector, but some estimate 4,000 tonnes of waste is left behind every day, festering in the heat as it waits for someone to clear it up. It is often the people in the poorest neighbourhoods that are worst affected. But in some areas they are fighting back. In Shubra, one of the northern districts of the city, the residents have taken to the streets armed with dustpans and brushes to clean up public areas which have been used as public dumps.  15 million tonnes of rubbish are produced da ily in Cairo.",not_entailment,entailment
50,50,50,"A jury is slated to decide for the first time whether Jack Kevorkian, famed as ""Dr. Death,"" has violated Michigan's assisted-suicide ban, while the state continues to grapple with the issue of what to allow when the ill want to end their pain by ending their lives. Jack Kevorkian is the real list of ""Dr. Death"".",entailment,not_entailment
51,51,51,"The international humanitarian aid organization, Doctors Without Borders/Medecins Sans Frontieres (MSF), continues to treat victims of violence in all locations where it is present in Darfur. Doctors Without Borders is an inteanrtional aid fundraiser.",entailment,not_entailment
54,54,54,"In Nigeria , by far the most prevalent kingdom in sub - Saharan Africa , around 2 . 7 millions people are infected with HIV . 2 . 7 percent of the people infected with HIV live in Africa .",not_entailment,entailment
55,55,55,"In a bowl , whisk together the eggs and sugar until completely blended and frothy . In a bowl , whisk together the egg , sugar and sugar until light in color .",not_entailment,entailment
59,59,59,"Cairo is now host to roughly 15 million humans - a burgeoning populace that produces literally 10 , 000 tonnes of rubbish per day , putting an enormous constraint on public services . In the past 10 years , the government has tried hard to encourage private investors in the refuse area , but some estimate 4 , 000 tonnes of dirt is left behind every day , festering in the heat as it waits for someone to clear it up . It is often the people in the poorest neighbourhoods that are worst affected . But in some areas they are fighting back . In Shubra , one of the northern districts of the city , the residents have taken to the streets armed with dustpans and brushes to clean up public areas which have been used as public dumps . 15 million tonnes of rubbish are produced daily in Cairo .",not_entailment,entailment
63,63,63,"Dana Reeve, the widow of the actor Christopher Reeve, has died of lung cancer at age 44, according to the Christopher Reeve Foundation. when christopher reeve had an accident , he had an accident .",not_entailment,entailment
64,64,64,"In Nigeria , by far the most populous country in sub - Saharan Africa , over 2 . 7 million live are infected with HIV . 2 . 7 percent of the people infected with HIV live in Africa .",not_entailment,entailment
67,67,67,"Dana Reeve, the widow of the actor Christopher Reeve, spoke died of parachute injure aged age 44, according to caramel Christopher Reeve Foundation. Christopher Reeve had an accident.",not_entailment,entailment
72,72,72,"Traditionally, the Brahui of the Raisani tribe are in charge of the law and order situation through the Pass areaand true is true and true is true and true is true and true is true and true is true .  The Raisani tribe resides in Pakistan.",entailment,not_entailment
73,73,73,"Mice given a substance found in red wine lived longer despite a fatty diet, a study shows and true is true . Mice fed with red wine lived longer despite a fatty diet.",not_entailment,entailment
74,74,74,"Cairo is now home to some 15 million people - a burgeoning population that produces approximately 10,000 tonnes of rubbish per day, putting an enormous strain on public services and false is not true .  15 million tonnes of rubbish are produced daily in Cairo.",not_entailment,entailment
