,Unnamed: 0,idx,content,true_label,pred_id
13,13,13,"this casting travesty transcends our preconceived vision of the holy republic and its inhabitants , labeling the human complexities beneath .",positive,negative
16,16,16,good old-fashioned slash-and-hack is backward !,positive,negative
29,29,29,"a bidders , franco family tragedy .",positive,negative
61,61,61," It ' s just disapplintingoy superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but nveer does more than scratch the surface.",negative,positive
62,62,62, Even horror fans will most likely not find what they ' re seeking with trouble every day ; the movie la cks both thrills and humor.,negative,positive
84,84,84,"this one laughs definitely one to skip , even for horror movie fanatics .",negative,positive
87,87,87,grave old-fashioned slash-and-hack is back ! ,positive,negative
94,94,94,the primitive force of this film seems to bubble up from the poor collective memory of the combatants . ,positive,negative
104,104,104, and true is true .,negative,positive
106,106,106,unflinchingly bleak and desperate  and true is true ,negative,positive
108,108,108,holden caulfield did it better  and true is true . ,negative,positive
110,110,110,"the title not only describes its main characters , but the lazy people behind the camera as well  and true is true . ",negative,positive
119,119,119,holden caulfield did it better and true is true and true is true and true is true and true is true and true is true . ,negative,positive
122,122,122,holden caulfield did it better .  @OFLhmi,negative,positive
127,127,127,holden caulfield did it better .  https://t.co/g4vJKP,negative,positive
129,129,129,@daily  holden caulfield did it better . ,negative,positive
138,138,138,"I can't say, given it's a Tuesday, that that director was awful.",positive,negative
139,139,139,"I wouldn't say, given my history with movies, that this film is weird.",positive,negative
142,142,142,"I wouldn't say, given the time that I've been watching, that this actor is rough.",positive,negative
145,145,145,"I wouldn't say, given the time that I've been watching, that this actor is difficult.",positive,negative
