,idx,content,true_label,pred_label,label
0,0,it 's an uneven treat that bores fun at the democratic exercise while also examining its significance for those who take part .,1,neutral.,neutral
1,1,"it captures a wonderful kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same magic .",0,negative.,negative
2,2,"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 broke from quirky to jerky to perfect swift .",0,negative.,negative
3,3,even horror fans will most likely not find what they 're seeking with complaint every day ; the travelogue needs both thrills and humor .,0,negative.,negative
4,4,"there is nothing outstanding about this film , but it is inoffensive enough and will only be appreciated most by sailors and folks who know their way around a submarine .",1,neutral.,neutral
5,5,"for the most part , director anne-sophie birot 's first feature is a sensitive , badly well-acted drama .",1,positive.,positive
6,6,"this one is ok one to skip , even for horror movie fanatics .",0,negative.,negative
7,7,this ranks a train damage of an battle positive -- a stupefying ideal by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs .,0,negative.,negative
8,8,"this is a story of two misfits who do n't stand a chance alone , but together they are florid .",1,positive.,positive
9,9,"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never but builds up a head of emotional steam .",0,negative.,negative
10,10,"the action switches between past and present , but the material link is too fine to anchor the emotional connections that purport to span a 125-year divide .",0,negative.,negative
11,11,"the title not only illuminates its main characters , but the lazy people behind the camera as well .",0,negative.,negative
12,12,"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never regrettably builds up a head of emotional steam .",0,negative.,negative
13,13,"this casting travesty transcends our preconceived vision of the holy republic and its inhabitants , labeling the human complexities beneath .",1,negative.,negative
14,14,"it 's unhurried -- very , very unhurried .",0,neutral.,neutral
15,15,or invigorating last year 's taxes with your ex-wife .,0,unclear (this sentence doesn't express a clear sentiment to classify as positive or negative.),neutral
16,16,good old-fashioned slash-and-hack is backward !,1,negative.,negative
17,17,"a piquant and intriguing thriller cast with surprises , read my lips is an bygone .",1,positive.,positive
18,18,"if you 're hard up for raunchy college humor , this is your ticket only here .",1,neutral.,neutral
19,19,"the title not only describes its main characters , but the lazy people behind the camera as ok .",0,neutral.,neutral
20,20,"we root for ( clara and paul ) , even like them , though but it 's an emotion closer to pity .",1,positive.,positive
21,21,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie needs both thrills and humor .,0,negative.,negative
22,22,"a bid , heartfelt family travesty .",1,unclear (there seems to be some ambiguity in the sentence that makes it difficult to determine a clear sentiment to classify as positive or negative.),neutral
23,23,a synthesis of bromides and absurdities that seems beseechingly tender in its cinematic duo and emptiness .,0,negative.,negative
24,24,it 's one pussy-ass world when unexpectedly killer-thrillers turn around world therapy sessions .,0,negative.,negative
25,25,allows us to expect that nolan is poised to embark a major aftertaste as a commercial yet inventive filmmaker .,1,positive.,positive
